Subject,Course Number,Course Title,Requirement
PSYCH,109,History of Psychology,Historical Studies
RELIGST,C132,Jewish Civilization I: The Biblical Period,Historical Studies
RELIGST,C135,Jewish Civilization: Modern Period,Historical Studies
RELIGST,173AC,Gandhi and the Civil Rights Movement in America,Historical Studies
RHETOR,106,Rhetoric of Historical Discourse,Historical Studies
RHETOR,152AC,Race and Order in the New Republic,Historical Studies
RHETOR,153,American Political Rhetoric,Historical Studies
RHETOR,166,Rhetoric in Law and Politics,Historical Studies
SASIAN,1A,Introduction to the Civilization of Early India,Historical Studies
SASIAN,1B,Introduction to the Civilization of Medieval and Modern India,Historical Studies
SASIAN,110,Introduction to Hinduism,Historical Studies
SASIAN,C114,Tibetan Buddhism,Historical Studies
SASIAN,144,Islam in South Asia,Historical Studies
SASIAN,146,"Mughal India through Memoirs, Chronicles and other Texts",Historical Studies
SASIAN,148,Religious Nationalism in South Asia,Historical Studies
SCANDIN,123,Viking and Medieval Scandinavia,Historical Studies
SCANDIN,132,Introduction to Finnish Culture and History,Historical Studies
SEASIAN,10A,Introduction to the Civilization of Southeast Asia,Historical Studies
SEASIAN,10B,Introduction to the Civilization of Southeast Asia,Historical Studies
SEASIAN,137,Islam and Society in Southeast Asia,Historical Studies
SEASIAN,C141B,Modern Southeast Asia,Historical Studies
SLAVIC,100,"Seminar: Russian, East European, and Eurasian Cultures",Historical Studies
SLAVIC,130,The Culture of Medieval Rus',Historical Studies
SLAVIC,C139,Language Spread,Historical Studies
SLAVIC,148,Topics in Russian Cultural History,Historical Studies
SLAVIC,158,Topics in East European/Eurasian Cultural History,Historical Studies
SLAVIC,190,"Russian Culture Taught in Russian: Country, Identity, and Language",Historical Studies
SOCIOL,131AC,Race and Ethnic Relations: U.S. American Cultures,Historical Studies
SOCWEL,185AC,Prison,Historical Studies
SPANISH,113,Topics in Latin American Culture,Historical Studies
SPANISH,122,Spanish Culture and Civilization,Historical Studies
SPANISH,C178,Cultural Studies,Historical Studies
SSEASN,148,"Philippines: History, Literature, Performance",Historical Studies
SSEASN,160,Philippine Cultural Politics,Historical Studies
STS,C100,"Introduction to Science, Technology, and Society",Historical Studies
THEATER,125,Performance and History,Historical Studies
THEATER,151A,Theater History,Historical Studies
THEATER,151B,Theater History,Historical Studies
TIBETAN,C114,Tibetan Buddhism,Historical Studies
TIBETAN,116,Traditional Tibet,Historical Studies
TIBETAN,118,The Politics of Modern Tibet,Historical Studies
TIBETAN,119,Tibetan Medicine in History and Society,Historical Studies
UGBA,C172,History of American Business,Historical Studies
UGIS,C133,"Death, Dying, and Modern Medicine: Historical and Contemporary Perspectives",Historical Studies
UGIS,C136,"The American Forest: Its Ecology, History, and Representation",Historical Studies
UGIS,C155,Jewish Civilization: Modern Period,Historical Studies
UGIS,162A,Political Science: Behind the Bully Bulpit - The History of Presidental Speech,Historical Studies
AFRICAM,4B,Africa: History and Culture,International Studies
AFRICAM,8A,Intermediate Wolof,International Studies
AFRICAM,8B,Intermediate Wolof,International Studies
AFRICAM,9A,Advanced Wolof,International Studies
AFRICAM,9B,Advanced Wolof,International Studies
AFRICAM,10A,Intermediate Swahili,International Studies
AFRICAM,10B,Intermediate Swahili,International Studies
AFRICAM,14A,Intermediate Zulu,International Studies
AFRICAM,14B,Intermediate Zulu,International Studies
AFRICAM,15A,Advanced Swahili,International Studies
AFRICAM,15B,Advanced Swahili,International Studies
AFRICAM,19A,Advanced Zulu,International Studies
AFRICAM,19B,Advanced Zulu,International Studies
AFRICAM,112A,Political and Economic Development in the Third World,International Studies
AFRICAM,112B,Political and Economic Development in the Third World,International Studies
AFRICAM,131,Caribbean Societies and Cultures,International Studies
ANTHRO,136G,Cultural Policy: Cultural Heritage and Cultural Diplomacy,International Studies
ANTHRO,C147B,"Sexuality, Culture, and Colonialism",International Studies
ANTHRO,152,Art and Culture,International Studies
ANTHRO,170,China,International Studies
ANTHRO,171,Japan,International Studies
ANTHRO,180,European Society,International Studies
ANTHRO,181,Themes in the Anthropology of the Middle East and Islam,International Studies
ANTHRO,183,Topics in the Anthropological Study of Africa,International Studies
ARABIC,20A,Intermediate Arabic,International Studies
ARABIC,20B,Intermediate Arabic,International Studies
ARABIC,50,Advanced Arabic,International Studies
ARMENI,102,Advanced Readings in Specialized Armenian,International Studies
ARMENI,124,Armenian Literature in Social Context,International Studies
ARMENI,126,Armenian Culture and Film,International Studies
ART,119,Global Perspectives in Contemporary Art,International Studies
ASIANST,10,Introduction to Asia,International Studies
BUDDSTD,C128,Buddhism in Contemporary Society,International Studies
CATALAN,101,Catalan for Advanced Students,International Studies
CELTIC,85,Intermediate Modern Irish,International Studies
CELTIC,86,Intermediate Modern Welsh,International Studies
CELTIC,102B,Advanced Breton,International Studies
CELTIC,129,Aspects of Modern Celtic Cultures and Folklore,International Studies
CHICANO,10,Intensive Intermediate Spanish Language and Mexican Culture,International Studies
CHICANO,135C,Latino Documentary Film,International Studies
CHICANO,163,Caribbean Migration to Western Europe and the United States,International Studies
CHINESE,10,Intensive Intermediate Chinese,International Studies
CHINESE,10A,Intermediate Chinese,International Studies
CHINESE,10B,Intermediate Chinese,International Studies
CHINESE,100A,Advanced Chinese,International Studies
CHINESE,100B,Advanced Chinese,International Studies
CHINESE,153,Reading Taiwan,International Studies
CHINESE,172,Contemporary Chinese Language Cinema,International Studies
CHINESE,C184,Sonic Culture in China,International Studies
CHINESE,188,Popular Media in Modern China,International Studies
CLASSIC,N172A,"Archaeological Field School in Nemea, Greece",International Studies
COMLIT,171,Topics in Modern Greek Literature,International Studies
CYPLAN,111,Introduction to Housing: An International Survey,International Studies
CYPLAN,115,Urbanization in Developing Countries,International Studies
CZECH,163,Advanced Reading Tutorials in Czech,International Studies
DEMOG,C165,Family and Household in Comparative Perspective,International Studies
DEMOG,C175,Economic Demography,International Studies
DEVSTD,C10,Introduction to Development,International Studies
DEVSTD,C100,History of Development and Underdevelopment,International Studies
DUTCH,110,Advanced Dutch,International Studies
DUTCH,125,Conversation and Composition,International Studies
EALANG,111,Reading Global Politics in Contemporary East Asian Literature,International Studies
EALANG,C128,Buddhism in Contemporary Society,International Studies
EALANG,191,Tools and Methods in the Study of East Asian Philosophy and Religion,International Studies
ECON,115,The World Economy in the Twentieth Century,International Studies
ECON,C175,Economic Demography,International Studies
ECON,C181,International Trade,International Studies
ENVDES,100,The City: Theories and Methods in Urban Studies,International Studies
ENVECON,C181,International Trade,International Studies
ESPM,155,Sociology and Political Ecology of Agro-Food Systems,International Studies
ESPM,166,Natural Resource Policy and Indigenous Peoples,International Studies
ESPM,168,Political Ecology,International Studies
ESPM,169,International Environmental Politics,International Studies
ETHSTD,N180,Selected Topics in Comparative Ethnic Studies - Study Abroad,International Studies
FILIPN,100A,Intermediate Filipino,International Studies
FILIPN,100B,Intermediate Filipino,International Studies
FILIPN,101A,Advanced Filipino,International Studies
FRENCH,3,Intermediate French,International Studies
FRENCH,4,Advanced Intermediate French,International Studies
GEOG,4,World Peoples and Cultural Environments,International Studies
GEOG,N4,World Peoples and Cultural Environments,International Studies
GEOG,10,"World Regions, Peoples, and States",International Studies
GEOG,20,Globalization,International Studies
GEOG,N20,Globalization,International Studies
GEOG,C32,Introduction to Development,International Studies
GEOG,35,Global Ecology and Development,International Studies
GEOG,C55,Introduction to Central Asia,International Studies
GEOG,C112,History of Development and Underdevelopment,International Studies
GEOG,130,Food and the Environment,International Studies
GEOG,N130,Food and the Environment,International Studies
GERMAN,3,Intermediate German I,International Studies
GERMAN,4,Intermediate German II,International Studies
GERMAN,100,Introduction to Reading Culture,International Studies
GERMAN,101,"Advanced German: Conversation, Composition and Style",International Studies
GERMAN,102A,Advanced Language Practice: German Performance,International Studies
GERMAN,102B,Advanced Language Practice: German for Business,International Studies
GERMAN,102D,Advanced Language Practice: Popular Culture in Germany,International Studies
GPP,105,"The Ethics, Methods, and Pragmatics of Global Practice",International Studies
GPP,115,Global Poverty: Challenges and Hopes in the New Millennium,International Studies
GWS,14,"Gender, Sexuality, and Race in Global Political Issues",International Studies
GWS,102,Transnational Feminism,International Studies
GWS,141,"Interrogating Global Economic ""Development""",International Studies
GWS,142,Women in the Muslim and Arab Worlds,International Studies
HEBREW,20A,Intermediate Hebrew,International Studies
HEBREW,20B,Intermediate Hebrew,International Studies
HEBREW,30,Intermediate Hebrew,International Studies
HEBREW,100A,Advanced Hebrew,International Studies
HEBREW,100B,Advanced Hebrew,International Studies
HINURD,100A,Intermediate Hindi,International Studies
HINURD,100B,Intermediate Hindi,International Studies
HINURD,101A,Readings in Modern Hindi,International Studies
HINURD,101B,Readings in Modern Hindi,International Studies
HINURD,103A,Intermediate Urdu,International Studies
HINURD,103B,Intermediate Urdu,International Studies
HISTART,27,Visual Cultures of Africa,International Studies
HISTART,131C,Art and Propaganda in Modern China,International Studies
HISTORY,160,The International Economy of the 20th Century,International Studies
HISTORY,162B,War and Peace: International Relations since 1914,International Studies
HISTORY,186,International and Global History since 1945,International Studies
IAS,120,Selected Topics - International and Area Studies,International Studies
IAS,150,Advanced Studies in International and Area Studies,International Studies
IAS,180,Current Issues in International and Area Studies,International Studies
ISF,100A,Introduction to Social Theory and Cultural Analysis,International Studies
ISF,100C,Language and Identity,International Studies
ISF,100D,"Introduction to Technology, Society, and Culture",International Studies
ISF,100E,"The Globalization of Rights, Values, and Laws in the 21st Century",International Studies
ISF,100H,Introduction to Media and International Relations,International Studies
ITALIAN,3,Intermediate Italian,International Studies
ITALIAN,4,Advanced Italian,International Studies
JAPAN,10A,Intermediate Japanese,International Studies
JAPAN,10B,Intermediate Japanese,International Studies
JAPAN,100B,Advanced Japanese,International Studies
JAPAN,101,Fourth-Year Readings: Social Sciences,International Studies
JAPAN,161,Introduction to Japanese Linguistics: Usage,International Studies
KHMER,101A,Advanced Khmer,International Studies
KHMER,101B,Advanced Khmer,International Studies
KOREAN,10,Intensive Intermediate Korean,International Studies
KOREAN,10A,Intermediate Korean,International Studies
KOREAN,10B,Intermediate Korean,International Studies
KOREAN,100A,Advanced Korean,International Studies
KOREAN,100B,Advanced Korean,International Studies
KOREAN,170,Intercultural Encounters in Korean Literature,International Studies
KOREAN,188,Cold War Culture in Korea: Literature and Film,International Studies
LATAMST,10,Introduction to Latin American Studies,International Studies
LATAMST,150,Advanced Studies in Latin American Studies,International Studies
LATAMST,160,The Politics of Development in Chile,International Studies
LEGALST,153,Law and Society in Asia,International Studies
LEGALST,161,Law in Chinese Society,International Studies
LEGALST,179,Comparative Constitutional Law,International Studies
LGBT,C147B,"Sexuality, Culture, and Colonialism",International Studies
LS,150A,International Studies,International Studies
LS,150C,International Studies,International Studies
MALAYI,100A,Intermediate Indonesian,International Studies
MALAYI,100B,Intermediate Indonesian,International Studies
MEDIAST,160,International Media,International Studies
MUSIC,74,Introduction to Selected Musics of the World,International Studies
MUSIC,133C,Music and Theater in Southeast Asia,International Studies
MUSIC,134A,Music of the East Asia Tradition,International Studies
MUSIC,134B,Music of Japan,International Studies
MUSIC,C134C,Sonic Culture in China,International Studies
MUSIC,135A,Musics of the Caribbean,International Studies
MUSIC,139,Topics in Musics of the World,International Studies
NESTUD,C26,Introduction to Central Asia,International Studies
NESTUD,154,Narratives of Identity in Israeli and Palestinian Fiction,International Studies
NESTUD,165,Film and Fiction of Iran,International Studies
NESTUD,175,History and Culture of Afghanistan,International Studies
PACS,126,International Human Rights,International Studies
PACS,128AC,Human Rights and American Cultures,International Studies
PACS,135,Special Topics in Regional Conflict,International Studies
PACS,149,Global Change and World Order,International Studies
PACS,151,International Conflict: Analysis and Resolution,International Studies
PACS,164A,Introduction to Nonviolence,International Studies
PBHLTH,112,Global Health: A Multidisciplinary Examination,International Studies
PERSIAN,100A,Advanced Persian,International Studies
PERSIAN,100B,Advanced Persian,International Studies
POLECON,101,Contemporary Theories of Political Economy,International Studies
POLSCI,2,Introduction to Comparative Politics,International Studies
POLSCI,5,Introduction to International Relations,International Studies
POLSCI,124A,War!,International Studies
POLSCI,124C,Ethics and Justice in International Affairs,International Studies
POLSCI,126A,International Political Economy,International Studies
POLSCI,128,Chinese Foreign Policy,International Studies
POLSCI,128B,Chinese Foreign Policy,International Studies
POLSCI,138E,The Varieties of Capitalism: Political Economic Systems of the World,International Studies
POLSCI,138G,National Success and Failure in the Age of a Global Economy: from Pleats to Cleats,International Studies
POLSCI,139B,Development Politics,International Studies
POLSCI,141C,Politics and Government in Eastern Europe,International Studies
POLSCI,142A,Middle East Politics,International Studies
POLSCI,143B,Japanese Politics,International Studies
POLSCI,143C,Chinese Politics,International Studies
POLSCI,144B,Politics of Divided Korea,International Studies
POLSCI,145A,South Asian Politics,International Studies
POLSCI,W145A,Understanding Political Developments in India,International Studies
POLSCI,145B,South Asian Politics,International Studies
POLSCI,146A,African Politics,International Studies
POLSCI,N146C,Conflict and Change in Southern Africa,International Studies
PUNJABI,100A,Intermediate Punjabi,International Studies
PUNJABI,100B,Intermediate Punjabi,International Studies
RUSSIAN,3,Intermediate Russian,International Studies
RUSSIAN,4,Intermediate Russian,International Studies
SCANDIN,100A,"Intermediate Scandinavian Languages (Danish, Norwegian, Swedish)",International Studies
SCANDIN,100B,"Intermediate Scandinavian Languages (Danish, Norwegian, Swedish)",International Studies
SCANDIN,170,Arctic Folklore and Mythology in Nordic Lands,International Studies
SEASIAN,10A,Introduction to the Civilization of Southeast Asia,International Studies
SEASIAN,10B,Introduction to the Civilization of Southeast Asia,International Studies
SLAVIC,50,Introduction to Russian/East European/Eurasian Cultures,International Studies
SOCIOL,145L,Social Change in Latin America,International Studies
SOCIOL,146,Contemporary Immigration in Global Perspective,International Studies
SOCIOL,146AC,Contemporary Immigration in Global Perspective,International Studies
SOCIOL,180C,Comparative Perspectives on U.S. and European Societies: Culture,International Studies
SOCIOL,180E,Comparative Perspectives on U.S. and European Societies: Education,International Studies
SOCIOL,180I,Comparative Perspectives on U.S. and European Societies: Inequality,International Studies
SOCIOL,182,Elementary Forms of Racial Domination: International Perspectives,International Studies
SOCIOL,C184,Family and Household in Comparative Perspective,International Studies
SPANISH,3,Intermediate Spanish,International Studies
SPANISH,4,Intermediate Spanish,International Studies
SPANISH,122,Spanish Culture and Civilization,International Studies
SSEASN,C145,Buddhism in Contemporary Society,International Studies
THEATER,20U,London: Theater Capital,International Studies
THEATER,113A,International Performance and Literature: Irish Theater: Origins and the Contemporary Scene,International Studies
THEATER,122,African Theater and Performance,International Studies
TIBETAN,115,Contemporary Tibet,International Studies
TIBETAN,118,The Politics of Modern Tibet,International Studies
UGBA,118,International Trade,International Studies
UGBA,178,Introduction to International Business,International Studies
UGIS,162L,"Middle East Politics and the Arab ""Spring""",International Studies
VIETNMS,100B,Intermediate Vietnamese,International Studies
VIETNMS,101B,Advanced Vietnamese,International Studies
AFRICAM,138,Black Nationalism,Philosophy and Values
AFRICAM,173AC,Gandhi and the Civil Rights Movement in America,Philosophy and Values
AMERSTD,C132B,Intellectual History of the United States since 1865,Philosophy and Values
ANTHRO,150,Utopia: Art and Power in Modern Times,Philosophy and Values
ANTHRO,158,Religion and Anthropology,Philosophy and Values
ARABIC,108,Islamic Religious and Philosophical Texts in Arabic,Philosophy and Values
BUDDSTD,C50,Introduction to the Study of Buddhism,Philosophy and Values
BUDDSTD,C113,Buddhist Thought in India,Philosophy and Values
BUDDSTD,114,Tibetan Buddhism,Philosophy and Values
BUDDSTD,C114,Tibetan Buddhism,Philosophy and Values
BUDDSTD,C115,Japanese Buddhism,Philosophy and Values
BUDDSTD,C116,Buddhism in China,Philosophy and Values
BUDDSTD,C117,Mongolian Buddhism,Philosophy and Values
BUDDSTD,C126,Buddhism and the Environment,Philosophy and Values
BUDDSTD,C128,Buddhism in Contemporary Society,Philosophy and Values
BUDDSTD,C130,Zen Buddhism,Philosophy and Values
BUDDSTD,C132,Pure Land Buddhism,Philosophy and Values
BUDDSTD,C135,Tantric Traditions of Asia,Philosophy and Values
BUDDSTD,154,"Death, Dreams, and Visions in Tibetan Buddhism",Philosophy and Values
CELTIC,C168,Celtic Mythology and Oral Tradition,Philosophy and Values
CELTIC,173,Celtic Christianity,Philosophy and Values
CHICANO,110,Latina/o Philosophy and Religious Thought,Philosophy and Values
CHINESE,51,Chinese Thought in the Han Dynasty,Philosophy and Values
CHINESE,C116,Buddhism in China,Philosophy and Values
CHINESE,130,Topics in Daoism,Philosophy and Values
CHINESE,179,Exploring Premodern Chinese Novels,Philosophy and Values
CHINESE,186,Confucius and His Interpreters,Philosophy and Values
CLASSIC,10A,Introduction to Greek Civilization,Philosophy and Values
CLASSIC,10B,Introduction to Roman Civilization,Philosophy and Values
CLASSIC,28,The Classic Myths,Philosophy and Values
CLASSIC,N28,The Classic Myths,Philosophy and Values
CLASSIC,29,Introduction to Greco-Roman Magic,Philosophy and Values
CLASSIC,34,Epic Poetry: Homer and Vergil,Philosophy and Values
CLASSIC,36,Greek Philosophy,Philosophy and Values
CLASSIC,39D,"Utopia, Dystopia",Philosophy and Values
CLASSIC,121,Ancient Religion,Philosophy and Values
CLASSIC,161,"Gender, Sexuality, and Culture in the Ancient World",Philosophy and Values
CLASSIC,163,Topics in Greek Philosophy,Philosophy and Values
COGSCI,C101,The Mind and Language,Philosophy and Values
COGSCI,C142,Language and Thought,Philosophy and Values
EALANG,C50,Introduction to the Study of Buddhism,Philosophy and Values
EALANG,101,"Catastrophe, Memory, and Narrative: Comparative Responses to Atrocity in the Twentieth Century",Philosophy and Values
EALANG,105,Dynamics of Romantic Core Values in East Asian Premodern Literature and Contemporary Film,Philosophy and Values
EALANG,110,Bio-Ethical Issues in East Asian Thought,Philosophy and Values
EALANG,C126,Buddhism and the Environment,Philosophy and Values
EALANG,C128,Buddhism in Contemporary Society,Philosophy and Values
EALANG,C130,Zen Buddhism,Philosophy and Values
EALANG,C132,Pure Land Buddhism,Philosophy and Values
EALANG,C135,Tantric Traditions of Asia,Philosophy and Values
EALANG,191,Tools and Methods in the Study of East Asian Philosophy and Religion,Philosophy and Values
ENGIN,125,"Ethics, Engineering, and Society",Philosophy and Values
ENGLISH,C77,Introduction to Environmental Studies,Philosophy and Values
ENGLISH,177,Literature and Philosophy,Philosophy and Values
ESPM,C12,Introduction to Environmental Studies,Philosophy and Values
ESPM,50AC,Introduction to Culture and Natural Resource Management,Philosophy and Values
ESPM,161,Environmental Philosophy and Ethics,Philosophy and Values
ESPM,162,Bioethics and Society,Philosophy and Values
ESPM,163AC,"Environmental Justice: Race, Class, Equity, and the Environment",Philosophy and Values
ETHSTD,145,Religion and Ethnicity,Philosophy and Values
ETHSTD,181AC,Prison,Philosophy and Values
GEOG,31,"Justice, Nature, and the Geographies of Identity",Philosophy and Values
GEOG,37,The Politics of Science and Technology,Philosophy and Values
GERMAN,C25,"Revolutionary Thinking: Marx, Nietzsche, Freud",Philosophy and Values
GERMAN,39P,Freshman Seminar,Philosophy and Values
GERMAN,C75,What is Beauty?,Philosophy and Values
GERMAN,C76,Beauty and the Beholder: Approaching Art at the Berkeley Art Museum,Philosophy and Values
GERMAN,157B,"German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect: Marx,Nietzsche,Freu",Philosophy and Values
GERMAN,C157B,"Marx, Nietzsche, Freud",Philosophy and Values
GERMAN,157C,German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect: Heidegger & Arendt,Philosophy and Values
GERMAN,157D,"German Intellect Hist in a Euro. Context: Hist Figs & Cont Reflect:Adorno, Benjamin, Habermas",Philosophy and Values
GPP,105,"The Ethics, Methods, and Pragmatics of Global Practice",Philosophy and Values
GREEK,100,Plato and Attic Prose,Philosophy and Values
GREEK,105,The Greek New Testament,Philosophy and Values
GREEK,123,Plato and Aristotle,Philosophy and Values
HISTORY,30,Science and Society,Philosophy and Values
HISTORY,C132B,Intellectual History of the United States since 1865,Philosophy and Values
HISTORY,164A,European Intellectual History from Renaissance to Enlightenment,Philosophy and Values
HISTORY,164B,Modern European Intellectual History: European Intellectual History from Enlightenment to 1870,Philosophy and Values
HISTORY,164C,Modern European Intellectual History: European Intellectual History 1870 to the Present,Philosophy and Values
HISTORY,C175B,Jewish Civilization: Modern Period,Philosophy and Values
HISTORY,181B,Topics in the History of the Physical Sciences: Modern Physics: From the Atom to Big Science,Philosophy and Values
HISTORY,C188C,"Magic, Religion, and Science: The Ancient and Medieval Worlds",Philosophy and Values
HISTORY,C191,"Death, Dying, and Modern Medicine: Historical and Contemporary Perspectives",Philosophy and Values
HMEDSCI,C133,"Death, Dying, and Modern Medicine: Historical and Contemporary Perspectives",Philosophy and Values
ISF,10,Enduring Questions and Great Books of the Western Tradition,Philosophy and Values
ISF,61,Moral Reasoning and Human Action: The Quest for Judgment,Philosophy and Values
ISF,100A,Introduction to Social Theory and Cultural Analysis,Philosophy and Values
ISF,100B,Introduction to Social Theory and Cultural Analysis,Philosophy and Values
ISF,100E,"The Globalization of Rights, Values, and Laws in the 21st Century",Philosophy and Values
ISF,100G,"Introduction to Science, Society, and Ethics",Philosophy and Values
ITALIAN,30,Dante (in English),Philosophy and Values
ITALIAN,130B,Dante's Purgatorio and Paradiso,Philosophy and Values
ITALIAN,130A,Dante's Inferno (in English),Philosophy and Values
JAPAN,C115,Japanese Buddhism,Philosophy and Values
JAPAN,116,Introduction to the Religions of Japan,Philosophy and Values
JAPAN,181,"Mediating Disaster: Fukushima, Before and After",Philosophy and Values
JEWISH,101,The Cultural Legacies of the Jews,Philosophy and Values
LATIN,116,"Lucretius, Vergil's <Georgics>",Philosophy and Values
LEGALST,100,Foundations of Legal Studies,Philosophy and Values
LEGALST,103,Theories of Law and Society,Philosophy and Values
LEGALST,107,Theories of Justice,Philosophy and Values
LEGALST,109,Aims and Limits of the Criminal Law,Philosophy and Values
LEGALST,140,Property and Liberty,Philosophy and Values
LEGALST,151,"Law, Self, and Society",Philosophy and Values
LEGALST,161,Law in Chinese Society,Philosophy and Values
LEGALST,181AC,Prison,Philosophy and Values
LINGUIS,C105,The Mind and Language,Philosophy and Values
LINGUIS,106,Metaphor,Philosophy and Values
LINGUIS,C142,Language and Thought,Philosophy and Values
LS,22,Sense and Sensibility and Science,Philosophy and Values
LS,23,The Humanities,Philosophy and Values
LS,60A,Philosophy and Values,Philosophy and Values
LS,C60T,What is Beauty?,Philosophy and Values
LS,C60U,"Revolutionary Thinking: Marx, Nietzsche, Freud",Philosophy and Values
LS,C76,Beauty and the Beholder: Approaching Art at the Berkeley Art Museum,Philosophy and Values
LS,121,Origins in Science and Religion,Philosophy and Values
LS,124,Consciousness: Buddhist and Neuroscientific Perspectives,Philosophy and Values
LS,C140T,"Marx, Nietzsche, Freud",Philosophy and Values
LS,160A,Philosophy and Values,Philosophy and Values
LS,160B,Personal Ethics,Philosophy and Values
LS,160C,Philosophy and Values,Philosophy and Values
LS,160D,Philosophy and Values,Philosophy and Values
LS,160E,Philosophy and Values,Philosophy and Values
LS,C160T,Philosophy of Mind,Philosophy and Values
LS,C160V,Human Happiness,Philosophy and Values
LS,C180U,Wealth and Poverty,Philosophy and Values
MATH,125A,Mathematical Logic,Philosophy and Values
MATH,135,Introduction to the Theory of Sets,Philosophy and Values
MEDIAST,104A,Freedom of Speech and the Press,Philosophy and Values
MONGOLN,C117,Mongolian Buddhism,Philosophy and Values
MUSIC,C128P,Music and Meaning,Philosophy and Values
MUSIC,137AC,Music of the Civil Rights Era,Philosophy and Values
NATAMST,150,Native American Narratives,Philosophy and Values
NATAMST,151,Native American Philosophy,Philosophy and Values
NAVSCI,3,Leadership and Management I,Philosophy and Values
NESTUD,39A,Freshmen & Sophomore Seminars,Philosophy and Values
NESTUD,39B,The Abrahamic Religions,Philosophy and Values
NESTUD,101,Women and Gender in Ancient Egypt,Philosophy and Values
NESTUD,102A,Archaeology of Ancient Egypt,Philosophy and Values
NESTUD,102B,Archaeology of Ancient Egypt,Philosophy and Values
NESTUD,C103,Religion of Ancient Egypt,Philosophy and Values
NESTUD,C104,Babylonian Religion,Philosophy and Values
NESTUD,105A,Ancient Mesopotamian Documents and Literature,Philosophy and Values
NESTUD,C135,Jewish Civilization I: The Biblical Period,Philosophy and Values
NESTUD,146A,Islam,Philosophy and Values
NESTUD,146B,Islam,Philosophy and Values
NESTUD,C188,"Magic, Religion, and Science: The Ancient and Medieval Worlds",Philosophy and Values
PACS,126,International Human Rights,Philosophy and Values
PACS,128AC,Human Rights and American Cultures,Philosophy and Values
PACS,151,International Conflict: Analysis and Resolution,Philosophy and Values
PACS,164A,Introduction to Nonviolence,Philosophy and Values
PHILOS,2,Individual Morality and Social Justice,Philosophy and Values
PHILOS,3,The Nature of Mind,Philosophy and Values
PHILOS,4,Knowledge and Its Limits,Philosophy and Values
PHILOS,6,"Man, God, and Society in Western Literature",Philosophy and Values
PHILOS,7,Existentialism in Literature and Film,Philosophy and Values
PHILOS,11,Introduction to the Philosophy of Religion,Philosophy and Values
PHILOS,12A,Introduction to Logic,Philosophy and Values
PHILOS,13,Business Ethics,Philosophy and Values
PHILOS,16,Introduction to Metaphysics,Philosophy and Values
PHILOS,17,"Concepts of the Person in Novel, Drama, and Film",Philosophy and Values
PHILOS,18,Confucius for Today,Philosophy and Values
PHILOS,21X,Philosophy of Biology,Philosophy and Values
PHILOS,22X,The Self and the World,Philosophy and Values
PHILOS,23X,Philosophy and Medicine,Philosophy and Values
PHILOS,24X,Social Justice,Philosophy and Values
PHILOS,25A,Ancient Philosophy,Philosophy and Values
PHILOS,25B,Modern Philosophy,Philosophy and Values
PHILOS,104,Ethical Theories,Philosophy and Values
PHILOS,107,Moral Psychology,Philosophy and Values
PHILOS,108,Contemporary Ethical Issues,Philosophy and Values
PHILOS,110,Aesthetics,Philosophy and Values
PHILOS,112,Special Topics in Aesthetics,Philosophy and Values
PHILOS,C112,Music and Meaning,Philosophy and Values
PHILOS,114,History of Political Philosophy,Philosophy and Values
PHILOS,115,Political Philosophy,Philosophy and Values
PHILOS,116,Special Topics in Political Philosophy,Philosophy and Values
PHILOS,119,Feminism and Philosophy,Philosophy and Values
PHILOS,122,Theory of Knowledge,Philosophy and Values
PHILOS,125,Metaphysics,Philosophy and Values
PHILOS,127,Rationality and Irrationality in Science,Philosophy and Values
PHILOS,128,Philosophy of Science,Philosophy and Values
PHILOS,C132,Philosophy of Mind,Philosophy and Values
PHILOS,134,Form and Meaning,Philosophy and Values
PHILOS,135,Theory of Meaning,Philosophy and Values
PHILOS,136,Philosophy of Perception,Philosophy and Values
PHILOS,138,Philosophy of Society,Philosophy and Values
PHILOS,140A,Intermediate Logic,Philosophy and Values
PHILOS,140B,Intermediate Logic,Philosophy and Values
PHILOS,141,Philosophy and Game Theory,Philosophy and Values
PHILOS,142,Philosophical Logic,Philosophy and Values
PHILOS,143,Modal Logic,Philosophy and Values
PHILOS,149,Special Topics in Philosophy of Logic and Mathematics,Philosophy and Values
PHILOS,155,Medieval Philosophy,Philosophy and Values
PHILOS,156A,Foundations of Analytic Philosophy: Frege,Philosophy and Values
PHILOS,160,Plato,Philosophy and Values
PHILOS,161,Aristotle,Philosophy and Values
PHILOS,163,Special Topics in Greek Philosophy,Philosophy and Values
PHILOS,170,Descartes,Philosophy and Values
PHILOS,172,Spinoza,Philosophy and Values
PHILOS,173,Leibniz,Philosophy and Values
PHILOS,181,Hegel,Philosophy and Values
PHILOS,183,Schopenhauer and Nietzsche,Philosophy and Values
PHILOS,184,Nietzsche,Philosophy and Values
PHILOS,185,Heidegger,Philosophy and Values
PHILOS,186B,Later Wittgenstein,Philosophy and Values
PHILOS,187,Special Topics in the History of Philosophy,Philosophy and Values
PHILOS,188,Phenomenology,Philosophy and Values
PHILOS,N188,Phenomenology,Philosophy and Values
POLECON,100,Classical Theories of Political Economy,Philosophy and Values
POLECON,101,Contemporary Theories of Political Economy,Philosophy and Values
