depart	name	number	units
Electrical Engineering (EL ENG)	Senior Honors Thesis Research	H196A	1
Electrical Engineering (EL ENG)	Senior Honors Thesis Research	H196B	1
Electrical Engineering (EL ENG)	Field Study	197	1
Electrical Engineering (EL ENG)	Directed Group Study for Advanced Undergraduates	198	1
Electrical Engineering (EL ENG)	Supervised Independent Study	199	1
Electrical Engineering (EL ENG)	Introduction to Robotics	206A	4
Electrical Engineering (EL ENG)	Robotic Manipulation and Interaction	206B	4
Electrical Engineering (EL ENG)	Applied Electromagnetic Theory	210	3
Electrical Engineering (EL ENG)	Power Electronics	213A	4
Electrical Engineering (EL ENG)	X-rays and Extreme Ultraviolet Radiation	C213	3
Electrical Engineering (EL ENG)	Introduction to Optical Engineering	218A	3
Electrical Engineering (EL ENG)	Numerical Simulation and Modeling	219A	4
Electrical Engineering (EL ENG)	Logic Synthesis	219B	4
Electrical Engineering (EL ENG)	Computer-Aided Verification	219C	3
Electrical Engineering (EL ENG)	Advanced Control Systems I	C220A	3
Electrical Engineering (EL ENG)	Experiential Advanced Control Design I	C220B	3
Electrical Engineering (EL ENG)	Experiential Advanced Control Design II	C220C	3
Electrical Engineering (EL ENG)	Linear System Theory	221A	4
Electrical Engineering (EL ENG)	Nonlinear Systems--Analysis, Stability and Control	222	3
Electrical Engineering (EL ENG)	Stochastic Systems: Estimation and Control	223	3
Electrical Engineering (EL ENG)	Digital Communications	224A	4
Electrical Engineering (EL ENG)	Fundamentals of Wireless Communication	224B	3
Electrical Engineering (EL ENG)	Digital Signal Processing	225A	3
Electrical Engineering (EL ENG)	Digital Image Processing	225B	3
Electrical Engineering (EL ENG)	Principles of Magnetic Resonance Imaging	C225E	4
Electrical Engineering (EL ENG)	Audio Signal Processing in Humans and Machines	225D	3
Electrical Engineering (EL ENG)	Random Processes in Systems	226A	4
Electrical Engineering (EL ENG)	Applications of Stochastic Process Theory	226B	2
Electrical Engineering (EL ENG)	Optimization Models in Engineering	227AT	4
Electrical Engineering (EL ENG)	Convex Optimization	227BT	4
Electrical Engineering (EL ENG)	Convex Optimization and Approximation	C227C	3
Electrical Engineering (EL ENG)	Introduction to Convex Optimization	C227T	4
Electrical Engineering (EL ENG)	High Speed Communications Networks	228A	3
Electrical Engineering (EL ENG)	Information Theory and Coding	229A	3
Electrical Engineering (EL ENG)	Error Control Coding	229B	3
Electrical Engineering (EL ENG)	Integrated-Circuit Devices	230A	4
Electrical Engineering (EL ENG)	Solid State Devices	230B	4
Electrical Engineering (EL ENG)	Solid State Electronics	230C	3
Electrical Engineering (EL ENG)	Integrated-Circuit Devices	W230A	4
Electrical Engineering (EL ENG)	Solid State Devices	W230B	4
Electrical Engineering (EL ENG)	Lightwave Devices	232	4
Electrical Engineering (EL ENG)	Nanoscale Fabrication	C235	4
Electrical Engineering (EL ENG)	Quantum and Optical Electronics	236A	3
Electrical Engineering (EL ENG)	Partially Ionized Plasmas	C239	3
Electrical Engineering (EL ENG)	Analog Integrated Circuits	240A	4
Electrical Engineering (EL ENG)	Advanced Analog Integrated Circuits	240B	4
Electrical Engineering (EL ENG)	Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits	240C	3
Electrical Engineering (EL ENG)	Analog Integrated Circuits	W240A	4
Electrical Engineering (EL ENG)	Advanced Analog Integrated Circuits	W240B	3
Electrical Engineering (EL ENG)	Analysis and Design of VLSI Analog-Digital Interface Integrated Circuits	W240C	3
Electrical Engineering (EL ENG)	Advanced Digital Integrated Circuits	241B	3
Electrical Engineering (EL ENG)	Introduction to Digital Integrated Circuits	W241A	4
Electrical Engineering (EL ENG)	Advanced Digital Integrated Circuits	W241B	3
Electrical Engineering (EL ENG)	Integrated Circuits for Communications	242A	4
Electrical Engineering (EL ENG)	Advanced Integrated Circuits for Communications	242B	3
Electrical Engineering (EL ENG)	Integrated Circuits for Communications	W242A	4
Electrical Engineering (EL ENG)	Advanced Integrated Circuits for Communications	W242B	3
Electrical Engineering (EL ENG)	Advanced IC Processing and Layout	243	3
Electrical Engineering (EL ENG)	Fundamental Algorithms for Systems Modeling, Analysis, and Optimization	244	4
Electrical Engineering (EL ENG)	Fundamental Algorithms for System Modeling, Analysis, and Optimization	W244	4
Electrical Engineering (EL ENG)	Parametric and Optimal Design of MEMS	C246	3
Electrical Engineering (EL ENG)	Introduction to Microelectromechanical Systems (MEMS)	247A	3
Electrical Engineering (EL ENG)	Introduction to MEMS Design	C247B	4
Electrical Engineering (EL ENG)	Introduction to MEMS Design	W247B	4
Electrical Engineering (EL ENG)	Numerical Modeling and Analysis: Nonlinear Systems and Noise	248C	4
Electrical Engineering (EL ENG)	Introduction to Embedded Systems	C249A	4
Electrical Engineering (EL ENG)	Embedded System Design: Modeling, Analysis, and Synthesis	C249B	4
Electrical Engineering (EL ENG)	Medical Imaging Signals and Systems	C261	4
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Computer-Aided Design	290A	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Solid State Devices	290B	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Circuit Design	290C	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Semiconductor Technology	290D	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Photonics	290F	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Mems, Microsensors, and Microactuators	290G	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in System Theory	290N	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Control	290O	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Bioelectronics	290P	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Communication Networks	290Q	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Communications and Information Theory	290S	1
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Advanced Topics in Signal Processing	290T	1
Electrical Engineering (EL ENG)	Advanced Topics in Circuit Design	W290C	3
Electrical Engineering (EL ENG)	Advanced Topics in Electrical Engineering: Organic Materials in Electronics	290Y	3
Electrical Engineering (EL ENG)	Control and Optimization of Distributed Parameters Systems	C291	3
Electrical Engineering (EL ENG)	Hybrid Systems and Intelligent Control	C291E	3
Electrical Engineering (EL ENG)	Field Studies in Electrical Engineering	297	12
Electrical Engineering (EL ENG)	Group Studies, Seminars, or Group Research	298	1
Electrical Engineering (EL ENG)	Individual Research	299	1
Electrical Engineering (EL ENG)	Teaching Techniques for Electrical Engineering	375	2
Electrical Engineering (EL ENG)	Individual Study for Doctoral Students	602	1
Earth and Planetary Science (EPS)	The Water Planet	3	3
Earth and Planetary Science (EPS)	Introduction to Climate Change	7	3
Earth and Planetary Science (EPS)	The Planets	C12	3
Earth and Planetary Science (EPS)	The Planets	W12	3
Earth and Planetary Science (EPS)	Earthquakes in Your Backyard	20	3
Earth and Planetary Science (EPS)	Earthquakes in Your Backyard	C20	3
Earth and Planetary Science (EPS)	Freshman Seminar in Earth and Planetary Sciences	24	1
Earth and Planetary Science (EPS)	Freshman/Sophomore Seminar	39A	2
Earth and Planetary Science (EPS)	The Planet Earth	50	4
Earth and Planetary Science (EPS)	Environmental Earth Sciences	80	3
Earth and Planetary Science (EPS)	Oceans	C82	3
Earth and Planetary Science (EPS)	Introduction to Oceans	N82	3
Earth and Planetary Science (EPS)	Sophomore Seminar	84	1
Earth and Planetary Science (EPS)	Directed Group Study	98	1
Earth and Planetary Science (EPS)	Minerals: Their Constitution and Origin	100A	4
Earth and Planetary Science (EPS)	Genesis and Interpretation of Rocks	100B	4
Earth and Planetary Science (EPS)	Communicating Ocean Science	C100	4
Earth and Planetary Science (EPS)	Field Geology and Digital Mapping	101	4
Earth and Planetary Science (EPS)	History and Evolution of Planet Earth	102	4
Earth and Planetary Science (EPS)	Introduction to Aquatic and Marine Geochemistry	103	4
Earth and Planetary Science (EPS)	Mathematical Methods in Geophysics	104	4
Earth and Planetary Science (EPS)	Geodynamics	108	4
Earth and Planetary Science (EPS)	Computer Simulations in Earth and Planetary Sciences	109	4
Earth and Planetary Science (EPS)	Petroleum Geology	111	3
Earth and Planetary Science (EPS)	Stratigraphy and Earth History	115	4
Earth and Planetary Science (EPS)	Structural Geology and Tectonics	116	3
Earth and Planetary Science (EPS)	Geomorphology	117	4
Earth and Planetary Science (EPS)	Advanced Field Course	118	4
Earth and Planetary Science (EPS)	Geologic Field Studies	119	2
Earth and Planetary Science (EPS)	Physics of the Earth and Planetary Interiors	122	3
Earth and Planetary Science (EPS)	Isotopic Geochemistry	124	4
Earth and Planetary Science (EPS)	Biometeorology	C129	3
Earth and Planetary Science (EPS)	Strong Motion Seismology	130	3
Earth and Planetary Science (EPS)	Geochemistry	131	4
Earth and Planetary Science (EPS)	Geological Oceanography	C146	4
Earth and Planetary Science (EPS)	Case Studies in Earth Systems	150	2
Earth and Planetary Science (EPS)	Planetary Astrophysics	C162	4
Earth and Planetary Science (EPS)	Applied Geophysics	C178	3
Earth and Planetary Science (EPS)	Air Pollution	C180	3
Earth and Planetary Science (EPS)	Atmospheric Physics and Dynamics	C181	3
Earth and Planetary Science (EPS)	Atmospheric Chemistry and Physics Laboratory	C182	3
Earth and Planetary Science (EPS)	Carbon Cycle Dynamics	C183	3
Earth and Planetary Science (EPS)	Senior Honors Course	H195	3
Earth and Planetary Science (EPS)	Field Study	197	1
Earth and Planetary Science (EPS)	Directed Group Study	198	1
Earth and Planetary Science (EPS)	Supervised Independent Study and Research	199	1
Earth and Planetary Science (EPS)	Problems in Hydrogeology	200	4
Earth and Planetary Science (EPS)	Introduction to Aquatic and Marine Geochemistry	203	4
Earth and Planetary Science (EPS)	Elastic Wave Propagation	204	3
Earth and Planetary Science (EPS)	Laboratory in Observational Seismology	207	3
Earth and Planetary Science (EPS)	Matlab Applications in Earth Science	209	2
Earth and Planetary Science (EPS)	Exploration, Ore Petrology, and Geochemistry	210	4
Earth and Planetary Science (EPS)	Advanced Stratigraphy and Tectonics	212	3
Earth and Planetary Science (EPS)	Igneous Petrology	214	4
Earth and Planetary Science (EPS)	Active Tectonics	216	3
Earth and Planetary Science (EPS)	Fluvial Geomorphology	217	4
Earth and Planetary Science (EPS)	Advanced Concepts in Mineral Physics	220	3
Earth and Planetary Science (EPS)	Isotopic Geochemistry	224	4
Earth and Planetary Science (EPS)	Topics in High-Pressure Research	225	2
Earth and Planetary Science (EPS)	Introduction to Climate Modeling	229	3
Earth and Planetary Science (EPS)	Radiation and Its Interactions with Climate	230	3
Earth and Planetary Science (EPS)	Geological Fluid Mechanics	236	4
Earth and Planetary Science (EPS)	Stable Isotope Ecology	C241	5
Earth and Planetary Science (EPS)	Glaciology	C242	4
Earth and Planetary Science (EPS)	Solar System Astrophysics	C249	3
Earth and Planetary Science (EPS)	Advanced Topics in Earth and Environmental Sciences	250	3
Earth and Planetary Science (EPS)	Carbon Cycle Dynamics	251	3
Earth and Planetary Science (EPS)	Advanced Topics in Seismology and Geophysics	254	1
Earth and Planetary Science (EPS)	Advanced Topics in Earth and Planetary Science	255	1
Earth and Planetary Science (EPS)	Earthquake of the Week	256	2
Earth and Planetary Science (EPS)	Research in Earth Science	260	2
Earth and Planetary Science (EPS)	Field Geology and Digital Mapping	271	4
Earth and Planetary Science (EPS)	Seismic Hazard Analysis and Design Ground Motions	C276	3
Earth and Planetary Science (EPS)	Research	280	2
Earth and Planetary Science (EPS)	Seminar	290	2
Earth and Planetary Science (EPS)	Planetary Science Seminar	C292	1
Earth and Planetary Science (EPS)	Energy Solutions: Carbon Capture and Sequestration	C295Z	3
Earth and Planetary Science (EPS)	Directed Group Study for Graduates	298	1
Earth and Planetary Science (EPS)	Communicating Ocean Science	C301	4
Earth and Planetary Science (EPS)	Professional Preparation: Supervised Teaching of Geology and Geophysics	375	1
Medieval Studies (MED ST)	Studies in Medieval Culture	150	2
Medieval Studies (MED ST)	Introduction to Research Materials and Methods	200	4
Medieval Studies (MED ST)	Medieval Manuscripts as Primary Sources	205	4
Medieval Studies (MED ST)	Paleography and Codicology	210	4
Medieval Studies (MED ST)	Seminar in Medieval Culture	250	2
Music (MUSIC)	Reading and Writing about Music	R1B	4
Music (MUSIC)	Basic Musicianship	20A	2
Music (MUSIC)	Basic Musicianship	20B	2
Music (MUSIC)	Freshman Seminar	24	1
Music (MUSIC)	Introduction to Music Theory	25A	3
Music (MUSIC)	Introduction to Music Theory	25B	3
Music (MUSIC)	Music in American Culture	26AC	4
Music (MUSIC)	Music in American Cultures	N26AC	4
Music (MUSIC)	Introduction to Western Music	27	4
Music (MUSIC)	Introduction to Western Music	N27	4
Music (MUSIC)	The Inner Workings of the Orchestra	28Y	2
Music (MUSIC)	Music Now	29	4
Music (MUSIC)	Freshman/Sophomore Seminar	39M	2
Music (MUSIC)	Freshman/Sophomore Seminar	39N	2
Music (MUSIC)	Group Carillon Lessons for Beginning Students	40	1
Music (MUSIC)	Private Carillon Lessons for Beginning Students	41A	1
Music (MUSIC)	Private Carillon Lessons for Intermediate Students	41B	1
Music (MUSIC)	Private Carillon Lessons for Advanced Students	41C	2
Music (MUSIC)	Carillon Lessons for Advanced Students	42	2
Music (MUSIC)	Introduction to Improvisation	43	3
Music (MUSIC)	Voice Class	44	2
Music (MUSIC)	Beginning Piano Class 1 for Non-Music Majors	45	1
Music (MUSIC)	Advanced Beginning Piano Class for Non-Music Majors	45A	1
Music (MUSIC)	Fundamentals of Guitar Performance	46	2
Music (MUSIC)	Musicianship I	52A	3
Music (MUSIC)	Musicianship II	52B	3
Music (MUSIC)	Harmony I	53A	3
Music (MUSIC)	Harmony II	53B	3
Music (MUSIC)	History of Music I	70	4
Music (MUSIC)	African American Music	73	4
Music (MUSIC)	Studies of Musics of the World	80	4
Music (MUSIC)	Field Studies	97	1
Music (MUSIC)	Directed Group Study for Freshmen and Sophomores	98	1
Music (MUSIC)	Berkeley Connect	98BC	1
Music (MUSIC)	Independent Study for Freshmen and Sophomores	99	1
Music (MUSIC)	New Music and the Arts	101	3
Music (MUSIC)	New Music and the Arts	101M	3
Music (MUSIC)	Independent Projects in Computer Music	107	4
Music (MUSIC)	Music Perception and Cognition	108	3
Music (MUSIC)	Music Perception and Cognition	108M	3
Music (MUSIC)	Music Cognition: The Mind Behind the Musical Ear	109	3
Music (MUSIC)	Music Cognition: The Mind Behind the Musical Ear	109M	3
Music (MUSIC)	Jazz Theory and Performance 1	116A	3
Music (MUSIC)	Jazz Theory and Performance 1	116AM	3
Music (MUSIC)	Jazz Theory and Performance 2	116B	3
Music (MUSIC)	Jazz Theory and Performance 2	116BM	3
Music (MUSIC)	Jazz Theory and Performance 1	N116	3
Music (MUSIC)	Topics in the History of European and American Music	128	3
Music (MUSIC)	Opera	128A	3
Music (MUSIC)	Opera	128AM	4
Music (MUSIC)	Beethoven	128B	3
Music (MUSIC)	Beethoven	128BM	3
Music (MUSIC)	Music and Meaning	C128P	3
Music (MUSIC)	J. S. Bach	128D	3
Music (MUSIC)	J. S. Bach	128DM	4
Music (MUSIC)	Mozart and Haydn	128E	3
Music (MUSIC)	Symphonic Literature	128GY	2
Music (MUSIC)	Music and Meaning	128P	3
Music (MUSIC)	The European/American Art Song	128Q	3
Music (MUSIC)	History of Jazz in America	128R	3
Music (MUSIC)	History of Jazz in America	128RM	3
Music (MUSIC)	Topics in Contemporary Improvised Music	128S	3
Music (MUSIC)	Topics in Contemporary Improvised Music	128SM	3
Music (MUSIC)	The American Musical	128T	3
Music (MUSIC)	The American Musical	128TM	3
Music (MUSIC)	Songs and Song-writing	128V	4
Music (MUSIC)	Songs and Song-writing	128VM	4
Music (MUSIC)	The Shape of Jazz to Come: Innovations in Jazz from 1959-1969	128Z	3
Music (MUSIC)	The Shape of Jazz to Come: Innovations in Jazz from 1959-1969	128ZM	3
Music (MUSIC)	African American Music	130B	4
Music (MUSIC)	African American Music	N130B	4
Music (MUSIC)	Music of India	131A	4
Music (MUSIC)	Music of the Middle East	132	4
Music (MUSIC)	Music of Southeast Asia	133AX	3
Music (MUSIC)	Music and Theater in Southeast Asia	133C	4
Music (MUSIC)	Music of Central Java	133D	4
Music (MUSIC)	Music of the East Asia Tradition	134A	4
Music (MUSIC)	Music of Japan	134B	4
Music (MUSIC)	Sonic Culture in China	C134C	4
Music (MUSIC)	Musics of the Caribbean	135A	4
Music (MUSIC)	World Music: Power, Aesthetics, and Connections	136	4
Music (MUSIC)	Music of the Civil Rights Era	137AC	4
Music (MUSIC)	Art and Activism	C138	4
Music (MUSIC)	Topics in Musics of the World	139	4
Music (MUSIC)	Topics in Musics of the World: Hip Hop in Urban America	139AC	4
Music (MUSIC)	Javanese Gamelan	140	2
Music (MUSIC)	Javanese Gamelan	N140	2
Music (MUSIC)	University Symphony Orchestra	141	2
Music (MUSIC)	University Wind Ensemble	142	2
Music (MUSIC)	University Wind Ensemble	N142	2
Music (MUSIC)	Gospel Chorus	143	2
Music (MUSIC)	University Chorus	144	2
Music (MUSIC)	University Chamber Chorus	145	2
Music (MUSIC)	Balinese Gamelan	146B	2
Music (MUSIC)	Contemporary Improvisation Ensemble	147	2
Music (MUSIC)	African Music Ensemble	148	2
Music (MUSIC)	African Music Ensemble	N148	2
Music (MUSIC)	University Baroque Ensemble	149	2
Music (MUSIC)	Instrumental Performance	150A	3
Music (MUSIC)	Vocal Performance	150B	3
Music (MUSIC)	Keyboard Performance	150C	2
Music (MUSIC)	Various Musical Practices Performance	150D	3
Music (MUSIC)	Jazz Performance	150E	1
Music (MUSIC)	Guitar Performance	150G	2
Music (MUSIC)	Early Music Performance	150H	1
Music (MUSIC)	Advanced Musicianship I	152A	3
Music (MUSIC)	Advanced Musicianship II	152B	3
Music (MUSIC)	Advanced Tonal Harmony	153A	3
Music (MUSIC)	Twentieth-Century Harmony	153B	3
Music (MUSIC)	Counterpoint	154A	3
Music (MUSIC)	Counterpoint	154B	3
Music (MUSIC)	Music Composition	155	3
Music (MUSIC)	Studies in Musical Analysis	156	3
Music (MUSIC)	Orchestration	157A	3
Music (MUSIC)	Orchestration	157B	3
Music (MUSIC)	Musical Applications of Computers and Related Technologies	158	4
Music (MUSIC)	Sound and Music Computing with CNMAT Technologies	158A	4
Music (MUSIC)	Situated Instrument Design for Musical Expression	158B	4
Music (MUSIC)	Computer Programming for Music Applications	159	4
Music (MUSIC)	Instrumental Conducting	161A	3
Music (MUSIC)	Instrumental Conducting	161B	3
Music (MUSIC)	Choral Conducting	162	4
Music (MUSIC)	Workshop in Choral Conducting	163	2
Music (MUSIC)	Current Trends in Jazz and Improvisation-Based Musics--A Performance Workshop	164	3
Music (MUSIC)	Berkeley Nu Jazz Collective	165	2
Music (MUSIC)	Topics in History, Culture, and Analysis	170	3
Music (MUSIC)	Topics in Research and Performance	170A	3
Music (MUSIC)	The Performance of Baroque Music	171D	3
Music (MUSIC)	Mozart	172A	3
Music (MUSIC)	Stravinsky	174C	3
Music (MUSIC)	Topics in History, Culture, and Analysis	179	3
Music (MUSIC)	Seminar in Ethnomusicology: Selected Topics	180	3
Music (MUSIC)	Topics in Research and Performance	189	3
Music (MUSIC)	Special Study for Honors Candidates in Music	H195	4
Music (MUSIC)	Field Studies	197	1
Music (MUSIC)	Group Special Study for Advanced Undergraduates	198	1
Music (MUSIC)	Berkeley Connect	198BC	1
Music (MUSIC)	Supervised Independent Study and Research	199	1
Music (MUSIC)	Music Scholarship I	200A	2
Music (MUSIC)	Introduction to Music Scholarship II	200B	4
Music (MUSIC)	Introduction to Music Scholarship III	200C	4
Music (MUSIC)	Proseminar in Computer Music	201A	4
Music (MUSIC)	Seminar in Contemporary Music	202	4
Music (MUSIC)	Seminar in Composition	203	4
Music (MUSIC)	Studies in Musical Analysis	204	4
Music (MUSIC)	Advanced Projects in Computer Music	207	4
Music (MUSIC)	Advanced Music Perception and Cognition	208A	4
Music (MUSIC)	Music in Mind	208B	4
Music (MUSIC)	Advanced Topics in Computer Music	209	4
Music (MUSIC)	Graduate Seminar: Composers and Improvisers Workshop	210	4
Music (MUSIC)	Seminar: Studies in Romantic Music	218	4
Music (MUSIC)	Seminar: Jazz	219	4
Music (MUSIC)	Topics in Music History and Criticism	220	4
Music (MUSIC)	Topics in Performance Studies	230	4
Music (MUSIC)	Readings in American Musical Cultures	241	4
Music (MUSIC)	Transcription and Analysis in Ethnomusicology	243	4
Music (MUSIC)	Tools of Ethnomusicological Research	244A	4
Music (MUSIC)	Research Design for Ethnomusicologists	244B	4
Music (MUSIC)	Theory and Method in Popular Music Studies	246	4
Music (MUSIC)	Topics in Ethnomusicology	247	4
Music (MUSIC)	Topics in Asian Music	248A	4
Music (MUSIC)	Interpretive Theories and Music	249	4
Music (MUSIC)	Advanced Ethnomusicological Studies	250A	2
Music (MUSIC)	Musical Applications of Computers and Related Technologies	258	4
Music (MUSIC)	Sound and Music Computing with CNMAT Technologies	258A	4
Music (MUSIC)	Situated Instrument Design for Musical Expression	258B	4
Music (MUSIC)	Colloquium	290	1
Music (MUSIC)	Directed Dissertation Research - Music	296	1
Music (MUSIC)	Group Special Studies	298	1
Music (MUSIC)	Special Study	299	1
Music (MUSIC)	Special Study	N299	2
Music (MUSIC)	Professional Preparation for Teaching Assistants in Music	300	2
Music (MUSIC)	Elementary Piano	405	1
Music (MUSIC)	Vocal Technique	410	1
Music (MUSIC)	Individual Study for Master's Students	601	1
Music (MUSIC)	Individual Study for Doctoral Students	602	1
Peace and Conflict Studies (PACS)	Introduction to Peace and Conflict Studies	10	4
Peace and Conflict Studies (PACS)	Freshman Seminar	24	1
Peace and Conflict Studies (PACS)	Theory and Practice of Meditation	94	1
Peace and Conflict Studies (PACS)	Directed Group Study	98	1
Peace and Conflict Studies (PACS)	Peace Theory: Approaches and Analyses	100	3
Peace and Conflict Studies (PACS)	Special Topics in Peace and Conflict Issues	119	4
Peace and Conflict Studies (PACS)	War, Culture, and Society	125AC	4
Peace and Conflict Studies (PACS)	International Human Rights	126	4
Peace and Conflict Studies (PACS)	Human Rights and Global Politics	127	4
Peace and Conflict Studies (PACS)	Human Rights and American Cultures	128AC	4
Peace and Conflict Studies (PACS)	Cross-Listed Topics	130	1
Peace and Conflict Studies (PACS)	Special Topics in Regional Conflict	135	3
Peace and Conflict Studies (PACS)	Social Movements, Urban Histories, and the Politics of Memory	148AC	4
Peace and Conflict Studies (PACS)	Global Change and World Order	149	3
Peace and Conflict Studies (PACS)	Conflict Resolution: Theory and Practice	150	3
Peace and Conflict Studies (PACS)	Conflict Resolution: Theory and Practice	150AC	3
Peace and Conflict Studies (PACS)	International Conflict: Analysis and Resolution	151	3
Peace and Conflict Studies (PACS)	Multicultural Conflict Resolution	154	4
Peace and Conflict Studies (PACS)	Introduction to Nonviolence	164A	3
Peace and Conflict Studies (PACS)	Nonviolence Today	164B	3
Peace and Conflict Studies (PACS)	Conflict Resolution, Social Change, and the Cultures of Peace	170	4
Peace and Conflict Studies (PACS)	Senior Seminar	190	4
Peace and Conflict Studies (PACS)	Senior Thesis	195	3
Peace and Conflict Studies (PACS)	Senior Honors Thesis Seminar	H195	4
Peace and Conflict Studies (PACS)	Field Studies	197	1
Peace and Conflict Studies (PACS)	Directed Group Study for Upper Division Students	198	1
Peace and Conflict Studies (PACS)	Supervised Independent Study	199	1
Physics (PHYSICS)	Introductory Mechanics and Relativity	5A	3
Physics (PHYSICS)	Introductory Electromagnetism, Waves, and Optics	5B	3
Physics (PHYSICS)	Introduction to Experimental Physics I	5BL	2
Physics (PHYSICS)	Introductory Thermodynamics and Quantum Mechanics	5C	3
Physics (PHYSICS)	Introduction to Experimental Physics II	5CL	2
Physics (PHYSICS)	Physics for Scientists and Engineers	7A	4
Physics (PHYSICS)	Physics for Scientists and Engineers	7B	4
Physics (PHYSICS)	Physics for Scientists and Engineers	7C	4
Physics (PHYSICS)	Physics for Scientists and Engineers	H7A	4
Physics (PHYSICS)	Physics for Scientists and Engineers	H7B	4
Physics (PHYSICS)	Physics for Scientists and Engineers	H7C	4
Physics (PHYSICS)	Introductory Physics	8A	4
Physics (PHYSICS)	Introductory Physics	8B	4
Physics (PHYSICS)	Descriptive Introduction to Physics	C10	3
Physics (PHYSICS)	Physics of Music	21	3
Physics (PHYSICS)	Physics and Music	C21	3
Physics (PHYSICS)	Freshman Seminars	24	1
Physics (PHYSICS)	Lower Division Physics Seminar	39	1.5
Physics (PHYSICS)	Supplementary Work in Lower Division Physics	49	1
Physics (PHYSICS)	Introduction to Computational Techniques in Physics	77	2
Physics (PHYSICS)	Introduction to Mathematical Physics	89	4
Physics (PHYSICS)	Directed Group Study	98	1
Physics (PHYSICS)	Berkeley Connect	98BC	1
Physics (PHYSICS)	Supervised Independent Study	99	1
Physics (PHYSICS)	Communicating Physics and Physical Science	100	2
Physics (PHYSICS)	Analytic Mechanics	105	4
Physics (PHYSICS)	Electromagnetism and Optics	110A	4
Physics (PHYSICS)	Electromagnetism and Optics	110B	4
Physics (PHYSICS)	Instrumentation Laboratory	111A	3
Physics (PHYSICS)	Advanced Experimentation Laboratory	111B	1
Physics (PHYSICS)	Introduction to Statistical and Thermal Physics	112	4
Physics (PHYSICS)	Particle Physics	129	4
Physics (PHYSICS)	Quantum and Nonlinear Optics	130	3
Physics (PHYSICS)	Quantum Mechanics	137A	4
Physics (PHYSICS)	Quantum Mechanics	137B	4
Physics (PHYSICS)	Modern Atomic Physics	138	3
Physics (PHYSICS)	Special Relativity and General Relativity	139	3
Physics (PHYSICS)	Solid State Physics	141A	4
Physics (PHYSICS)	Solid State Physics	141B	3
Physics (PHYSICS)	Introduction to Plasma Physics	142	4
Physics (PHYSICS)	Elective Physics: Special Topics	151	3
Physics (PHYSICS)	Relativistic Astrophysics and Cosmology	C161	4
Physics (PHYSICS)	Principles of Molecular Biophysics	177	3
Physics (PHYSICS)	Physics Honors Course	H190	2
Physics (PHYSICS)	Quantum Information Science and Technology	C191	3
Physics (PHYSICS)	Senior Honors Thesis Research	H195A	2
Physics (PHYSICS)	Senior Honors Thesis Research	H195B	2
Physics (PHYSICS)	Directed Group Study	198	1
Physics (PHYSICS)	Berkeley Connect	198BC	1
Physics (PHYSICS)	Frontiers of Physics	198F	2
Physics (PHYSICS)	Supervised Independent Study	199	1
Physics (PHYSICS)	Introduction to Nano-Science and Engineering	C201	3
Physics (PHYSICS)	Astrophysical Fluid Dynamics	C202	4
Physics (PHYSICS)	Computational Nanoscience	C203	3
Physics (PHYSICS)	Advanced Dynamics	205A	4
Physics (PHYSICS)	Advanced Dynamics	205B	4
Physics (PHYSICS)	Radiation Processes in Astronomy	C207	4
Physics (PHYSICS)	Classical Electromagnetism	209	5
Physics (PHYSICS)	Equilibrium Statistical Physics	211	4
Physics (PHYSICS)	Nonequilibrium Statistical Physics	212	4
Physics (PHYSICS)	Special Topics in Many-Body Physics	216	4
Physics (PHYSICS)	Quantum Mechanics	221A	5
Physics (PHYSICS)	Quantum Mechanics	221B	5
Physics (PHYSICS)	Particle Physics Phenomenology	226	4
Physics (PHYSICS)	Extragalactic Astronomy and Cosmology	C228	3
Physics (PHYSICS)	Advanced Cosmology	229	3
Physics (PHYSICS)	General Relativity	231	4
Physics (PHYSICS)	Quantum Field Theory I	232A	4
Physics (PHYSICS)	Quantum Field Theory II	232B	4
Physics (PHYSICS)	Standard Model and Beyond I	233A	4
Physics (PHYSICS)	Standard Model and Beyond II	233B	4
Physics (PHYSICS)	String Theory I	234A	4
Physics (PHYSICS)	String Theory II	234B	4
Physics (PHYSICS)	Advanced Atomic, Molecular, and Optical Physics	238	4
Physics (PHYSICS)	Quantum Theory of Solids	240A	4
